bar_idx,datetime,open,high,low,close,bar_volume,bar_ticks,bid_vol,ask_vol,volume,delta,delta_finish,max_delta,min_delta,cum_delta,trades,buy_trades,sell_trades,max_one_trade,avg_size,avg_buy_size,avg_sell_size,levels,poc_price,poc_volume,open_interest
10840,2026-08-06 02:06:00,4361.0,4362.5,4359.2,4361.9,122,121,63,56,122,-7,-7,-7,-7,-801,121,0,0,0,1.0083,0,0,32,4360.3,9,301568
10841,2026-08-06 02:07:00,4361.8,4363.6,4361.8,4363.0,240,224,131,100,240,-31,-31,-31,-31,-832,224,0,0,0,1.0714,0,0,19,4362.5,31,301568
10842,2026-08-06 02:08:00,4363.6,4363.7,4358.7,4358.9,233,216,114,80,233,-34,-34,-34,-34,-866,216,0,0,0,1.0787,0,0,46,4361.2,16,301568
10843,2026-08-06 02:09:00,4359.3,4361.4,4358.9,4360.8,149,131,48,93,149,45,45,45,45,-821,131,0,0,0,1.1374,0,0,26,4360.1,13,301568
10844,2026-08-06 02:10:00,4360.7,4362.3,4359.0,4359.1,119,113,65,47,119,-18,-18,-18,-18,-839,113,0,0,0,1.0531,0,0,29,4361.2,16,301568
10845,2026-08-06 02:11:00,4359.3,4359.6,4351.9,4352.6,268,240,175,89,268,-86,-86,-86,-86,-925,240,0,0,0,1.1167,0,0,67,4354.3,17,301568
10846,2026-08-06 02:12:00,4352.9,4357.6,4352.7,4355.4,130,122,37,89,130,52,52,52,52,-873,122,0,0,0,1.0656,0,0,43,4354.9,8,301568
10847,2026-08-06 02:13:00,4355.4,4357.6,4355.3,4356.1,92,81,28,61,92,33,33,33,33,-840,81,0,0,0,1.1358,0,0,20,4357.4,11,301568
10848,2026-08-06 02:14:00,4355.7,4356.0,4354.2,4354.5,85,74,34,50,85,16,16,16,16,-824,74,0,0,0,1.1486,0,0,19,4354.3,10,301568
10849,2026-08-06 02:15:00,4354.8,4357.3,4354.8,4357.3,25,25,12,13,25,1,1,1,1,-823,25,0,0,0,1,0,0,13,4355.6,4,301568
10850,2026-08-06 02:16:00,4357.0,4358.0,4356.6,4357.4,31,29,15,16,31,1,1,1,1,-822,29,0,0,0,1.069,0,0,12,4357.4,6,301568
10851,2026-08-06 02:17:00,4357.7,4359.2,4357.5,4357.6,70,68,33,35,70,2,2,2,2,-820,68,0,0,0,1.0294,0,0,18,4359.0,10,301568
10852,2026-08-06 02:18:00,4357.8,4357.9,4355.5,4355.7,70,68,29,35,70,6,6,6,6,-814,68,0,0,0,1.0294,0,0,23,4356.7,8,301568
